Timestamp,Color,Entry/Exit
0.0,white,Exit
0.0,blue,Exit
0.0,yellow,Exit
0.0,orange,Exit
2.0,white,Entry
2.0,yellow,Entry
2.1,white,Exit
4.33,white,Entry
4.37,white,Exit
5.6,white,Entry
9.09,blue,Entry
9.32,blue,Exit
9.46,blue,Entry
12.05,orange,Entry
12.19,orange,Exit
13.29,orange,Entry
15.85,white,Exit
18.08,blue,Exit
18.18,blue,Entry
18.25,blue,Exit
20.91,orange,Exit
23.24,white,Entry
23.54,white,Exit
23.7,white,Entry
23.8,white,Exit
23.84,white,Entry
23.9,white,Exit
23.97,white,Entry
26.97,orange,Entry
27.37,orange,Exit
28.03,orange,Entry
29.73,yellow,Exit
29.76,yellow,Entry
29.8,yellow,Exit
29.83,yellow,Entry
29.86,yellow,Exit
29.96,yellow,Entry
30.06,yellow,Exit
32.89,blue,Entry
33.22,blue,Exit
33.46,blue,Entry
35.99,yellow,Entry
41.81,orange,Exit
43.94,yellow,Exit
46.57,blue,Exit
46.74,blue,Entry
46.8,blue,Exit
48.67,yellow,Entry
51.86,orange,Entry
52.06,orange,Exit
52.1,orange,Entry
52.13,orange,Exit
52.2,orange,Entry
54.79,blue,Entry
54.96,orange,Exit
55.06,orange,Entry
55.09,white,Exit
55.29,orange,Exit
55.36,orange,Entry
55.46,blue,Exit
56.36,blue,Entry
59.59,white,Entry
63.85,orange,Exit
64.78,blue,Exit
64.81,blue,Entry
64.94,blue,Exit
64.98,blue,Entry
65.01,blue,Exit
65.54,white,Exit
66.58,yellow,Exit
66.71,yellow,Entry
66.77,white,Entry
66.77,yellow,Exit
66.81,white,Exit
66.84,yellow,Entry
66.87,yellow,Exit
69.4,yellow,Entry
72.1,yellow,Exit
72.13,yellow,Entry
72.17,yellow,Exit
72.3,yellow,Entry
73.6,yellow,Exit
73.73,white,Entry
73.9,yellow,Entry
75.73,blue,Entry
77.36,orange,Entry
84.32,yellow,Exit
85.02,blue,Exit
85.95,orange,Exit
87.31,white,Exit
87.54,white,Entry
87.58,white,Exit
89.81,orange,Entry
92.77,white,Entry
92.84,white,Exit
92.97,orange,Exit
93.24,orange,Entry
93.27,orange,Exit
93.47,orange,Entry
93.7,orange,Exit
94.24,white,Entry
94.3,orange,Entry
95.37,white,Exit
96.13,white,Entry
97.86,blue,Entry
98.13,blue,Exit
98.16,blue,Entry
99.43,yellow,Entry
99.49,orange,Exit
99.83,yellow,Exit
99.89,yellow,Entry
100.56,orange,Entry
